Fuel_Category,Zip Code,Count
Electric,UNKNOWN,66
Electric,19973,1
Electric,20601,23
Electric,20602,23
Electric,20603,47
Electric,20607,36
Electric,20608,1
Electric,20613,25
Electric,20616,5
Electric,20619,24
Electric,20620,2
Electric,20621,2
Electric,20622,2
Electric,20623,3
Electric,20628,1
Electric,20629,1
Electric,20630,3
Electric,20634,7
Electric,20636,19
Electric,20637,11
Electric,20639,24
Electric,20640,7
Electric,20645,4
Electric,20646,20
Electric,20650,30
Electric,20652,1
Electric,20653,20
Electric,20657,20
Electric,20658,1
Electric,20659,12
Electric,20664,6
Electric,20674,2
Electric,20675,4
Electric,20676,3
Electric,20677,8
Electric,20678,13
Electric,20680,1
Electric,20684,2
Electric,20685,7
Electric,20688,8
Electric,20689,2
Electric,20690,6
Electric,20692,1
Electric,20695,12
Electric,20701,4
Electric,20705,30
Electric,20706,21
Electric,20707,59
Electric,20708,15
Electric,20710,2
Electric,20711,12
Electric,20712,9
Electric,20714,7
Electric,20715,56
Electric,20716,36
Electric,20720,69
Electric,20721,71
Electric,20722,2
Electric,20723,171
Electric,20724,31
Electric,20732,20
Electric,20733,10
Electric,20735,30
Electric,20736,19
Electric,20737,16
Electric,20740,59
Electric,20743,23
Electric,20744,81
Electric,20745,38
Electric,20746,15
Electric,20747,9
Electric,20748,13
Electric,20749,1
Electric,20751,9
Electric,20754,10
Electric,20755,13
Electric,20758,1
Electric,20759,101
Electric,20762,6
Electric,20763,4
Electric,20764,2
Electric,20765,1
Electric,20769,20
Electric,20770,56
Electric,20771,3
Electric,20772,81
Electric,20774,80
Electric,20776,13
Electric,20777,54
Electric,20778,7
Electric,20779,5
Electric,20781,27
Electric,20782,38
Electric,20783,15
Electric,20784,7
Electric,20785,28
Electric,20794,31
Electric,20812,4
Electric,20814,275
Electric,20815,293
Electric,20816,169
Electric,20817,513
Electric,20818,29
Electric,20832,81
Electric,20833,55
Electric,20837,54
Electric,20841,73
Electric,20842,8
Electric,20850,438
Electric,20851,32
Electric,20852,246
Electric,20853,91
Electric,20854,737
Electric,20855,142
Electric,20860,13
Electric,20861,20
Electric,20862,1
Electric,20866,32
Electric,20868,3
Electric,20871,248
Electric,20872,47
Electric,20874,161
Electric,20876,78
Electric,20877,67
Electric,20878,459
Electric,20879,56
Electric,20880,3
Electric,20882,76
Electric,20886,62
Electric,20895,134
Electric,20896,12
Electric,20901,105
Electric,20902,122
Electric,20903,17
Electric,20904,125
Electric,20905,69
Electric,20906,149
Electric,20910,199
Electric,20912,115
Electric,21001,21
Electric,21005,5
Electric,21009,30
Electric,21010,1
Electric,21012,56
Electric,21013,17
Electric,21014,46
Electric,21015,54
Electric,21017,6
Electric,21023,1
Electric,21028,9
Electric,21029,202
Electric,21030,70
Electric,21031,2
Electric,21032,45
Electric,21034,2
Electric,21035,41
Electric,21036,23
Electric,21037,70
Electric,21040,7
Electric,21042,292
Electric,21043,242
Electric,21044,211
Electric,21045,124
Electric,21046,74
Electric,21047,28
Electric,21048,26
Electric,21050,23
Electric,21051,1
Electric,21053,4
Electric,21054,56
Electric,21056,5
Electric,21057,16
Electric,21060,71
Electric,21061,38
Electric,21071,3
Electric,21074,18
Electric,21075,125
Electric,21076,111
Electric,21077,1
Electric,21078,42
Electric,21082,1
Electric,21084,4
Electric,21085,5
Electric,21087,13
Electric,21090,24
Electric,21093,140
Electric,21094,1
Electric,21102,12
Electric,21104,39
Electric,21108,61
Electric,21111,22
Electric,21113,76
Electric,21114,48
Electric,21117,163
Electric,21120,24
Electric,21122,80
Electric,21128,33
Electric,21131,31
Electric,21132,1
Electric,21133,12
Electric,21136,109
Electric,21140,14
Electric,21144,89
Electric,21146,131
Electric,21152,34
Electric,21153,12
Electric,21154,5
Electric,21155,4
Electric,21156,2
Electric,21157,45
Electric,21158,30
Electric,21160,1
Electric,21161,15
Electric,21162,10
Electric,21163,36
Electric,21201,31
Electric,21202,34
Electric,21204,82
Electric,21205,3
Electric,21206,15
Electric,21207,12
Electric,21208,110
Electric,21209,73
Electric,21210,89
Electric,21211,30
Electric,21212,100
Electric,21213,11
Electric,21214,24
Electric,21215,19
Electric,21216,3
Electric,21217,13
Electric,21218,57
Electric,21219,7
Electric,21220,21
Electric,21221,24
Electric,21222,20
Electric,21223,3
Electric,21224,84
Electric,21225,16
Electric,21226,5
Electric,21227,18
Electric,21228,84
Electric,21229,28
Electric,21230,146
Electric,21231,46
Electric,21234,40
Electric,21236,22
Electric,21237,26
Electric,21239,10
Electric,21244,21
Electric,21250,9
Electric,21286,57
Electric,21401,160
Electric,21402,3
Electric,21403,127
Electric,21405,2
Electric,21409,74
Electric,21502,19
Electric,21532,7
Electric,21541,3
Electric,21545,1
Electric,21550,5
Electric,21561,4
Electric,21601,26
Electric,21607,1
Electric,21610,1
Electric,21613,16
Electric,21617,14
Electric,21619,9
Electric,21620,13
Electric,21623,6
Electric,21625,1
Electric,21629,2
Electric,21631,2
Electric,21632,1
Electric,21635,1
Electric,21638,8
Electric,21639,1
Electric,21647,1
Electric,21651,1
Electric,21654,11
Electric,21655,2
Electric,21658,12
Electric,21660,2
Electric,21661,2
Electric,21662,5
Electric,21663,17
Electric,21664,1
Electric,21666,25
Electric,21671,2
Electric,21673,4
Electric,21677,1
Electric,21679,1
Electric,21701,93
Electric,21702,54
Electric,21703,63
Electric,21704,106
Electric,21710,21
Electric,21713,9
Electric,21714,1
Electric,21716,12
Electric,21718,2
Electric,21722,1
Electric,21723,7
Electric,21727,5
Electric,21734,2
Electric,21737,34
Electric,21738,25
Electric,21740,55
Electric,21742,46
Electric,21754,41
Electric,21755,10
Electric,21756,4
Electric,21757,1
Electric,21758,2
Electric,21762,1
Electric,21769,49
Electric,21770,24
Electric,21771,62
Electric,21773,14
Electric,21774,74
Electric,21776,10
Electric,21777,6
Electric,21778,3
Electric,21779,1
Electric,21780,3
Electric,21783,7
Electric,21784,106
Electric,21787,3
Electric,21788,6
Electric,21791,4
Electric,21793,14
Electric,21794,20
Electric,21795,3
Electric,21797,37
Electric,21798,3
Electric,21801,19
Electric,21804,11
Electric,21811,16
Electric,21813,4
Electric,21817,3
Electric,21826,1
Electric,21830,2
Electric,21837,1
Electric,21842,16
Electric,21851,3
Electric,21862,1
Electric,21863,3
Electric,21874,1
Electric,21875,10
Electric,21901,15
Electric,21903,5
Electric,21904,9
Electric,21911,5
Electric,21912,1
Electric,21913,2
Electric,21914,2
Electric,21915,5
Electric,21917,2
Electric,21919,2
Electric,21921,29
Plug-In Hybrid,UNKNOWN,13
Plug-In Hybrid,20601,22
Plug-In Hybrid,20602,24
Plug-In Hybrid,20603,43
Plug-In Hybrid,20606,2
Plug-In Hybrid,20607,30
Plug-In Hybrid,20609,1
Plug-In Hybrid,20611,1
Plug-In Hybrid,20613,31
Plug-In Hybrid,20616,6
Plug-In Hybrid,20618,1
Plug-In Hybrid,20619,22
Plug-In Hybrid,20620,1
Plug-In Hybrid,20621,1
Plug-In Hybrid,20622,6
Plug-In Hybrid,20623,2
Plug-In Hybrid,20624,1
Plug-In Hybrid,20627,1
Plug-In Hybrid,20628,3
Plug-In Hybrid,20629,1
Plug-In Hybrid,20634,18
Plug-In Hybrid,20636,17
Plug-In Hybrid,20637,13
Plug-In Hybrid,20639,38
Plug-In Hybrid,20640,7
Plug-In Hybrid,20645,2
Plug-In Hybrid,20646,22
Plug-In Hybrid,20650,38
Plug-In Hybrid,20653,26
Plug-In Hybrid,20657,27
Plug-In Hybrid,20659,24
Plug-In Hybrid,20662,3
Plug-In Hybrid,20667,1
Plug-In Hybrid,20670,1
Plug-In Hybrid,20674,5
Plug-In Hybrid,20675,3
Plug-In Hybrid,20676,2
Plug-In Hybrid,20677,4
Plug-In Hybrid,20678,12
Plug-In Hybrid,20685,12
Plug-In Hybrid,20686,3
Plug-In Hybrid,20688,8
Plug-In Hybrid,20689,4
Plug-In Hybrid,20690,1
Plug-In Hybrid,20692,2
Plug-In Hybrid,20693,1
Plug-In Hybrid,20695,16
Plug-In Hybrid,20701,2
Plug-In Hybrid,20705,38
Plug-In Hybrid,20706,21
Plug-In Hybrid,20707,52
Plug-In Hybrid,20708,31
Plug-In Hybrid,20710,2
Plug-In Hybrid,20711,12
Plug-In Hybrid,20712,7
Plug-In Hybrid,20714,9
Plug-In Hybrid,20715,45
Plug-In Hybrid,20716,18
Plug-In Hybrid,20720,38
Plug-In Hybrid,20721,45
Plug-In Hybrid,20722,9
Plug-In Hybrid,20723,93
Plug-In Hybrid,20724,23
Plug-In Hybrid,20732,20
Plug-In Hybrid,20733,10
Plug-In Hybrid,20735,32
Plug-In Hybrid,20736,20
Plug-In Hybrid,20737,16
Plug-In Hybrid,20740,52
Plug-In Hybrid,20742,1
Plug-In Hybrid,20743,35
Plug-In Hybrid,20744,75
Plug-In Hybrid,20745,21
Plug-In Hybrid,20746,13
Plug-In Hybrid,20747,10
Plug-In Hybrid,20748,17
Plug-In Hybrid,20751,4
Plug-In Hybrid,20754,16
Plug-In Hybrid,20755,21
Plug-In Hybrid,20759,47
Plug-In Hybrid,20762,3
Plug-In Hybrid,20763,5
Plug-In Hybrid,20764,5
Plug-In Hybrid,20765,1
Plug-In Hybrid,20769,12
Plug-In Hybrid,20770,48
Plug-In Hybrid,20772,72
Plug-In Hybrid,20774,49
Plug-In Hybrid,20776,11
Plug-In Hybrid,20777,26
Plug-In Hybrid,20778,6
Plug-In Hybrid,20779,4
Plug-In Hybrid,20781,27
Plug-In Hybrid,20782,37
Plug-In Hybrid,20783,20
Plug-In Hybrid,20784,10
Plug-In Hybrid,20785,28
Plug-In Hybrid,20794,23
Plug-In Hybrid,20812,4
Plug-In Hybrid,20814,140
Plug-In Hybrid,20815,197
Plug-In Hybrid,20816,93
Plug-In Hybrid,20817,274
Plug-In Hybrid,20818,21
Plug-In Hybrid,20827,1
Plug-In Hybrid,20832,64
Plug-In Hybrid,20833,27
Plug-In Hybrid,20837,23
Plug-In Hybrid,20838,1
Plug-In Hybrid,20839,1
Plug-In Hybrid,20841,38
Plug-In Hybrid,20842,12
Plug-In Hybrid,20850,183
Plug-In Hybrid,20851,38
Plug-In Hybrid,20852,131
Plug-In Hybrid,20853,79
Plug-In Hybrid,20854,305
Plug-In Hybrid,20855,65
Plug-In Hybrid,20860,4
Plug-In Hybrid,20861,7
Plug-In Hybrid,20862,4
Plug-In Hybrid,20866,26
Plug-In Hybrid,20868,3
Plug-In Hybrid,20871,160
Plug-In Hybrid,20872,37
Plug-In Hybrid,20874,136
Plug-In Hybrid,20876,69
Plug-In Hybrid,20877,57
Plug-In Hybrid,20878,251
Plug-In Hybrid,20879,53
Plug-In Hybrid,20880,5
Plug-In Hybrid,20882,78
Plug-In Hybrid,20886,53
Plug-In Hybrid,20895,83
Plug-In Hybrid,20896,11
Plug-In Hybrid,20901,98
Plug-In Hybrid,20902,94
Plug-In Hybrid,20903,27
Plug-In Hybrid,20904,114
Plug-In Hybrid,20905,54
Plug-In Hybrid,20906,111
Plug-In Hybrid,20910,186
Plug-In Hybrid,20912,109
Plug-In Hybrid,21001,30
Plug-In Hybrid,21005,2
Plug-In Hybrid,21009,33
Plug-In Hybrid,21012,47
Plug-In Hybrid,21013,9
Plug-In Hybrid,21014,44
Plug-In Hybrid,21015,36
Plug-In Hybrid,21017,8
Plug-In Hybrid,21023,1
Plug-In Hybrid,21028,3
Plug-In Hybrid,21029,92
Plug-In Hybrid,21030,49
Plug-In Hybrid,21031,2
Plug-In Hybrid,21032,33
Plug-In Hybrid,21034,3
Plug-In Hybrid,21035,29
Plug-In Hybrid,21036,15
Plug-In Hybrid,21037,69
Plug-In Hybrid,21040,19
Plug-In Hybrid,21042,211
Plug-In Hybrid,21043,134
Plug-In Hybrid,21044,155
Plug-In Hybrid,21045,107
Plug-In Hybrid,21046,44
Plug-In Hybrid,21047,13
Plug-In Hybrid,21048,19
Plug-In Hybrid,21050,25
Plug-In Hybrid,21053,4
Plug-In Hybrid,21054,32
Plug-In Hybrid,21056,1
Plug-In Hybrid,21057,16
Plug-In Hybrid,21060,45
Plug-In Hybrid,21061,43
Plug-In Hybrid,21070,1
Plug-In Hybrid,21074,16
Plug-In Hybrid,21075,61
Plug-In Hybrid,21076,58
Plug-In Hybrid,21077,1
Plug-In Hybrid,21078,37
Plug-In Hybrid,21082,5
Plug-In Hybrid,21084,9
Plug-In Hybrid,21085,20
Plug-In Hybrid,21087,9
Plug-In Hybrid,21090,22
Plug-In Hybrid,21093,103
Plug-In Hybrid,21102,14
Plug-In Hybrid,21104,31
Plug-In Hybrid,21108,37
Plug-In Hybrid,21111,12
Plug-In Hybrid,21113,61
Plug-In Hybrid,21114,42
Plug-In Hybrid,21117,99
Plug-In Hybrid,21120,16
Plug-In Hybrid,21122,70
Plug-In Hybrid,21128,29
Plug-In Hybrid,21131,24
Plug-In Hybrid,21132,1
Plug-In Hybrid,21133,24
Plug-In Hybrid,21136,66
Plug-In Hybrid,21140,7
Plug-In Hybrid,21144,67
Plug-In Hybrid,21146,91
Plug-In Hybrid,21152,23
Plug-In Hybrid,21153,7
Plug-In Hybrid,21154,3
Plug-In Hybrid,21155,5
Plug-In Hybrid,21157,42
Plug-In Hybrid,21158,30
Plug-In Hybrid,21160,1
Plug-In Hybrid,21161,7
Plug-In Hybrid,21162,9
Plug-In Hybrid,21163,28
Plug-In Hybrid,21201,19
Plug-In Hybrid,21202,30
Plug-In Hybrid,21203,1
Plug-In Hybrid,21204,61
Plug-In Hybrid,21205,6
Plug-In Hybrid,21206,22
Plug-In Hybrid,21207,36
Plug-In Hybrid,21208,75
Plug-In Hybrid,21209,66
Plug-In Hybrid,21210,53
Plug-In Hybrid,21211,44
Plug-In Hybrid,21212,80
Plug-In Hybrid,21213,7
Plug-In Hybrid,21214,29
Plug-In Hybrid,21215,29
Plug-In Hybrid,21216,11
Plug-In Hybrid,21217,17
Plug-In Hybrid,21218,60
Plug-In Hybrid,21219,18
Plug-In Hybrid,21220,34
Plug-In Hybrid,21221,36
Plug-In Hybrid,21222,34
Plug-In Hybrid,21223,4
Plug-In Hybrid,21224,53
Plug-In Hybrid,21225,6
Plug-In Hybrid,21226,5
Plug-In Hybrid,21227,33
Plug-In Hybrid,21228,93
Plug-In Hybrid,21229,22
Plug-In Hybrid,21230,59
